label,Eusocial,HD.all
Taygetis_acuta,solitary,DD
Maniola_halicarnassus,solitary,DD
Pyronia_bathseba,solitary,DD
Lasiophila_cirta,solitary,DD
Erebia_stubbendorfii,solitary,DD
Erebia_kefersteinii,solitary,DD
Erebia_progne,solitary,DD
Xanthotaenia_busiris,solitary,DD
Adelpha_hyas,solitary,DD
Vindula_erota,solitary,DD
Childrena_zenobia,solitary,DD
Speyeria_hydaspe,solitary,DD
Clossiana_natazhati,solitary,DD
Terinos_terpander,solitary,DD
Bematistes_epaea,solitary,DD
Acraea_tellus,solitary,DD
Inachis_io,solitary,DD
Nymphalis_xanthomelas,solitary,DD
Anartia_amathea,solitary,DD
Protogoniomorpha_parhassus,solitary,DD
Catonephele_mexicana,solitary,DD
Perisama_canoma,solitary,DD
Sephisa_chandra,solitary,DD
Polycaena_lama,solitary,DD
Abisara_fylloides,solitary,DD
Monethe_albertus,solitary,DD
Melanis_pixe,solitary,DD
Symmachia_fassli,solitary,DD
Curetis_bulis,solitary,DD
Spindasis_vulcanus,solitary,DD
Miletus_nymphis,solitary,DD
Cupido_lorquinii,solitary,DD
Cupido_argiades,solitary,DD
Polyommatus_actinides,solitary,DD
Polyommatus_admetus,solitary,DD
Pseudonacaduba_aethiops,solitary,DD
Cacyreus_marshalli,solitary,DD
Pseudophilotes_baton,solitary,DD
Philotiella_speciosa,solitary,DD
Otnjukovia_tatjana,solitary,DD
Udara_albocaerulea,solitary,DD
Arhopala_agesilaus,solitary,DD
Strymon_mulucha,solitary,DD
Theritas_hemon,solitary,DD
Delias_bagoe,solitary,DD
Colias_chippewa,solitary,DD
Pyrisitia_nise,solitary,DD
Pyrgus_alveus,solitary,DD
Sostrata_bifasciata,solitary,DD
Chaetocneme_beata,solitary,DD
Pythonides_pteras,solitary,DD
Apallaga_confusa,solitary,DD
Myscelus_amystis,solitary,DD
Pyrrhopyge_crida,solitary,DD
Conga_chydaea,solitary,DD
Atalopedes_campestris,solitary,DD
Omiodes_nigriscripta,solitary,DD
Glyphodes_rubrocinctalis,solitary,DD
Megastes_grandalis,solitary,DD
Lypotigris_reginalis,solitary,DD
Palpita_kimballi,solitary,DD
Desmia_tages,solitary,DD
Metallarcha_thiophara,solitary,DD
Haritalodes_obliqualis,solitary,DD
Syllepte_tenebrosalis,solitary,DD
Ostrinia_nubilalis,solitary,DD
Ischnurges_illustralis,solitary,DD
Parapoynx_euryscia,solitary,DD
Hednota_orthotypa,solitary,DD
Hednota_cotylophora,solitary,DD
Scoparia_tribulosa,solitary,DD
Prooedema_inscisalis,solitary,DD
Banisia_placida,solitary,DD
Aglaopus_carycina,solitary,DD
Rhodoneura_rufifimbria,solitary,DD
Macna_coelocrossa,solitary,DD
Curena_externalis,solitary,DD
Cryptoblabes_adoceta,solitary,DD
Dioryctria_yiai,solitary,DD
Dioryctria_merkeli,solitary,DD
Meroptera_pravella,solitary,DD
Morosaphycita_oculiferella,solitary,DD
Emmalocera_callirrhoda,solitary,DD
Agastophanes_zophoxysta,solitary,DD
Phiditia_cuprea,solitary,DD
Euglyphis_sonia,solitary,DD
Othorene_intermedia,solitary,DD
Schausiella_ronaldzunigi,solitary,DD
Automerina_beneluzi,solitary,DD
Hyperchiria_schmiti,solitary,DD
Automeris_postalbida,solitary,DD
Lonomia_sinjaevorum,solitary,DD
Lonomia_orientoandensis,solitary,DD
Prohylesia_friburgensis,solitary,DD
Automeropsis_umbrata,solitary,DD
Paradirphia_peggyae,solitary,DD
Dirphiopsis_delta,solitary,DD
Dirphia_diasi,solitary,DD
Pseudodirphia_napola,solitary,DD
Caio_championi,solitary,DD
Antheraea_mylitta,solitary,DD
Copaxa_yungaspandens,solitary,DD
Hyalophora_cecropia,solitary,DD
Imbrasia_longicaudata,solitary,DD
Smerinthus_ocellata,solitary,DD
Hoplistopus_butti,solitary,DD
Litosphingia_corticea,solitary,DD
Lintneria_geminus,solitary,DD
Coelonia_brevis,solitary,DD
Agrius_convolvuli,solitary,DD
Polyptychus_baxteri,solitary,DD
Ambulyx_lestradei,solitary,DD
Ambulyx_rudloffi,solitary,DD
Leucophlebia_emittens,solitary,DD
Eumorpha_capronnieri,solitary,DD
Aellopos_ceculus,solitary,DD
Cephonodes_woodfordii,solitary,DD
Temnora_fumosa,solitary,DD
