"label","genus","species","order","family","sociality","haplodiploidy","HD.arrhenotoky","HD.all","Eusocial","Eusocial.strict","Eus.strict.koos.gawne"
"Allotettix_simoni","Allotettix","simoni","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Criotettix_bispinosus","Criotettix","bispinosus","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Tridactylus_sp","Tridactylus","sp","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ellipes_minuta","Ellipes","minuta","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Neotridactylus_apicaulis","Neotridactylus","apicaulis","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ripipterygidae_GMHJI36115_BD00492189","Ripipterygidae","GMHJI36115_BD00492189","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ruspolia_interruptus","Ruspolia","interruptus","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Lipotactes_tripyrga","Lipotactes","tripyrga","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Hexacentrus_japonicus","Hexacentrus","japonicus","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Tettigonia_cantans","Tettigonia","cantans","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Pseudokuzicus_SM2011_HQ609280","Pseudokuzicus","SM2011_HQ609280","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ruidocollaris_truncatolobata","Ruidocollaris","truncatolobata","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Stenopelmatus_mahogani","Stenopelmatus","mahogani","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Brachyporus_RCP2009_FJ481430","Brachyporus","RCP2009_FJ481430","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Penalva_flavocalceatus","Penalva","flavocalceatus","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Gryllotaurus_RCP2008_EU676755","Gryllotaurus","RCP2008_EU676755","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Exogryllacris_ornata","Exogryllacris","ornata","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Cyphoderris_monstrosa","Cyphoderris","monstrosa","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Camptonotus_carolinensis","Camptonotus","carolinensis","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Troglophilus_brevicauda","Troglophilus","brevicauda","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Comicus_campestris","Comicus","campestris","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Newmanoperla_hackeri","Newmanoperla","hackeri","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Zelandoperla_agnetis","Zelandoperla","agnetis","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Antarctoperla_michaelseni","Antarctoperla","michaelseni","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Teutoperla_auberti","Teutoperla","auberti","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Zelandobius_auratus","Zelandobius","auratus","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Rakiuraperla_nudipes","Rakiuraperla","nudipes","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Acroperla_christinae","Acroperla","christinae","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Limnoperla_jaffueli","Limnoperla","jaffueli","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Malenka_flexura","Malenka","flexura","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Nemurella_pictetii","Nemurella","pictetii","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Podmosta_decepta","Podmosta","decepta","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Capnia_coloradensis","Capnia","coloradensis","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Anacroneuria_FBG_BD0071654","Anacroneuria","FBG_BD0071654","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Acroneuria_abnormis","Acroneuria","abnormis","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Acroneuria_hainana","Acroneuria","hainana","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Eccoptura_xanthenes","Eccoptura","xanthenes","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Hesperoperla_pacifica","Hesperoperla","pacifica","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Doroneuria_theodora","Doroneuria","theodora","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Calineuria_sp_MN_2012_AB770140","Calineuria","sp_MN_2012_AB770140","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Perlesta_SWRCC20709_JF287708","Perlesta","SWRCC20709_JF287708","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Kamimuria_wangi","Kamimuria","wangi","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Pteronarcys_XJ_BD00859199","Pteronarcys","XJ_BD00859199","Plecoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Tricorythodes_SGABR27912_BD001140470","Tricorythodes","SGABR27912_BD001140470","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ephemerella_maculata","Ephemerella","maculata","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Eurylophella_sp_DHF1_JQ663252","Eurylophella","sp_DHF1_JQ663252","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ephemerella_OPU_BS_E201473_KP970728","Ephemerella","OPU_BS_E201473_KP970728","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Kangella_brocha","Kangella","brocha","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Torleya_nepalica","Torleya","nepalica","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Potamanthellus_edmundsi","Potamanthellus","edmundsi","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Eurylophella_oviruptis","Eurylophella","oviruptis","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Neoephemera_purpurea","Neoephemera","purpurea","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Caenis_spPARA1_BD00999732","Caenis","spPARA1_BD00999732","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Caenis_kimminsis","Caenis","kimminsis","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
